ufo_id,location
185295,"Mukilteo, WA, USA"
185370,"Santuario, Liguria, Italy"
185417,"Killeen, TX, USA"
185420,"Richmond Heights, MO, USA"
185519,"Methuen, MA, USA"
185550,"Bethlehem, PA, USA"
185574,"Riverton, UT, USA"
185591,"Minneapolis, MN, USA"
185598,"Homestead, FL, USA"
185610,"Portland, OR, USA"
185638,"Morley, TN, USA"
185653,"Del Valle, TX, USA"
185657,"Paraná, Brazil"
185676,"Bethlehem, PA, USA"
185809,"Kerala, India"
185860,Unspecified
185881,"Sandy Springs, GA, USA"
185889,"Bethlehem, PA, USA"
185895,"Detroit, OR, USA"
185903,Unspecified
185904,"Balmazújváros, Hungary"
185910,"Paso de la Patria, Corrientes, Argentina"
185928,"League City, TX, USA"
185929,"Santa Rosa, CA, USA"
185930,"League City, TX, USA"
185936,"Methuen, MA, USA"
185952,"Caucaia, Ceará, Brazil"
185970,"Encantado, Rio Grande do Sul, Brazil"
185974,"Vancouver, WA, USA"
186031,"Zamárdi, Hungary"
186043,"Charlotte Amalie, St. Thomas, U.S. Virgin Islands"
186066,"Huntsville, AL, USA"
186069,"Arnold, MO, USA"
186092,"Prescot, England, United Kingdom"
186105,"Opelika, AL, USA"
186106,"Bajçinë, Kosovo"
186118,"Quakertown, PA, USA"
186150,"Grao de Castellón, Comunidad Valenciana, Spain"
186257,"Rivière-à-Pierre, QC, Canada"
186266,"San Antonio, TX, USA"
186269,"Lilburn, GA, USA"
186276,"Charlotte, NC, USA"
186379,"Braubach, Rheinland-Pfalz, Germany"
186402,"Newry, Northern Ireland, United Kingdom"
186410,"Ainsworth, IA, USA"
186428,"East Java, Indonesia"
186456,"Ermioni, Greece"
186500,"Medellín, Antioquia, Colombia"
186503,Unspecified
186515,"Myrtle Beach, SC, USA"
186596,"Mazatlan, Sinaloa, Mexico"
186609,"Los Angeles, CA, USA"
186626,"León de los Aldama, Guanajuato, Mexico"
186650,"Sierra Vista, AZ, USA"
186681,"Myrtle Beach, SC, USA"
186707,"Oslo, Norway"
186709,"Huauchinango, Puebla, Mexico"
186726,"Forada, MN, USA"
186731,"Eugene, OR, USA"
186746,"Toms River, NJ, USA"
186750,"Lyefjell, Rogaland, Norway"
186762,"Chihuahua, Mexico"
186771,"Florentino Ameghino, Buenos Aires Province, Argentina"
186781,"WA, USA"
186809,"Sevierville, TN, USA"
186816,"Mataró, Catalonia, Spain"
186840,"Calgary, AB, Canada"
186882,"Dalkey, County Dublin, Ireland"
186888,"Mexico City, Mexico"
186942,"Northfield, MA, USA"
187009,"Chandler, OK, USA"
187031,"Coomera, Queensland, Australia"
187074,"Elkhart, IN, USA"
187119,"Fairfield, CT, USA"
187133,"Fanano, Modena, Italy"
187154,"Winchester, CA, USA"
187166,"Clifton Springs, Victoria, Australia"
187171,"Ocoee, FL, USA"
187213,"Leland, NC, USA"
187259,"Belleville, NJ, USA"
187263,"Weesp, North Holland, Netherlands"
187273,"Longview, WA, USA"
187305,"Thynedale, VA, USA"
187327,"Bheelon Ka Bedla, Rajasthan, India"
187330,"El Pozo de Cota, Baja California Sur, Mexico"
187336,"Mingo Junction, OH, USA"
187337,"Dover, OH, USA"
187349,"Philipsburg, MT, USA"
187365,"Bydgoszcz, Kuyavian-Pomeranian Voivodeship, Poland"
187392,Gulf of Mexico
187410,"Franklin, NC, USA"
187415,"Patchogue, NY, USA"
187426,"Carson City, NV, USA"
187496,"Carmel Hamlet, NY, USA"
187583,"Boksburg, Gauteng, South Africa"
187605,"Spokane, WA, USA"
187608,"Lincoln City, OR, USA"
187628,"Joubertina, Eastern Cape, South Africa"
187629,"Glen Rose, TX, USA"
187638,"New Paltz, NY, USA"
187655,"Bradninch, England, United Kingdom"
187658,"Mexico City, Nuevo León, Mexico"
187680,"Esquipulas, Chiquimula Department, Guatemala"
187752,"Elkton, MD, USA"
187753,"Alicante (Alacant), Comunidad Valenciana, Spain"
187766,"Rockland, ID, USA"
187807,"Dargaville, Northland, New Zealand"
187821,"Colchester, England, United Kingdom"
187840,"Tacoma, WA, USA"
187854,"Domžale, Slovenia"
187882,Unspecified
188027,"Charles Town, WV, USA"
188028,"Ocean Springs, MS, USA"
188034,"Watertown, TN, USA"
188036,"Colorado Springs, CO, USA"
188053,"Mount Olive, NJ, USA"
188111,"Philadelphia, PA, USA"
188148,"Fruitland Park, FL, USA"
188153,"Doral, FL, USA"
188165,"Clovis, CA, USA"
188219,"Williston, ND, USA"
188261,"Lapel, IN, USA"
188262,"Indianapolis, IN, USA"
188388,"Overland Park, KS, USA"
188394,"Atkinson, NE, USA"
188410,"Sykesville, MD, USA"
188448,"Anchorage, AK, USA"
188461,"Mountain Brook, AL, USA"
188505,"Carmarthen, Wales, United Kingdom"
188520,"Mountain Home, ID, USA"
188533,"Windom, MN, USA"
188573,"Colorado Springs, CO, USA"
188574,"Everson, PA, USA"
188614,"Allenwood, PA, USA"
188650,"Odessa, TX, USA"
188662,"Lyman, SC, USA"
188663,"Lyman, SC, USA"
188710,"Boise, ID, USA"
188752,"Saint Paul, MN, USA"
188755,"Lakewood, CO, USA"
188797,"Palaú, Coahuila de Zaragoza, Mexico"
188802,"Owens Cross Roads, AL, USA"
188835,"Norwich, England, United Kingdom"
188838,"Kenosha, WI, USA"
188901,"Schertz, TX, USA"
188999,"Carrollton, OH, USA"
189052,"Outwell, England, United Kingdom"
189057,"Hamble-le-Rice, England, United Kingdom"
189117,"Varaždin, Varaždin County, Croatia"
189139,"Lexington, KY, USA"
189142,"Memphis, TN, USA"
189150,"Beihai, China"
189155,"Sedona, AZ, USA"
189205,"CA, USA"
189215,"Phoenix, AZ, USA"
189253,"Greeley, CO, USA"
189265,"Dothan, AL, USA"
189272,"Taoyuan City, Taiwan"
189281,"Fort Wayne, IN, USA"
189282,"Mestlin, Mecklenburg-Vorpommern, Germany"
189298,"Tucson, AZ, USA"
189326,"Bodø, Nordland, Norway"
189327,"San Luis Obispo, CA, USA"
189333,"Painted Post, NY, USA"
189380,"West Bengal, India"
189389,"Corpus Christi, TX, USA"
189420,"Santa Fe, NM, USA"
189423,"Tillamook, OR, USA"
189445,"San Mateo, CA, USA"
189470,"Haldibari, West Bengal, India"
189473,"Independence, CA, USA"
189540,"Fllakë, Qarku i Durrësit, Albania"
189599,"L'Arbresle, Auvergne-Rhône-Alpes, France"
189636,"Scotland, United Kingdom"
189646,"Kettle Falls, WA, USA"
189652,"Oklahoma City, OK, USA"
189720,"Datil, NM, USA"
189759,"Cardiff, Wales, United Kingdom"
189798,"El Cajon, CA, USA"
189803,"Bonney Lake, WA, USA"
189827,"Las Palmeras, Illes Balears, Spain"
189830,"Diyarbakır, Turkey"
189841,"Meridian, ID, USA"
189881,"Newburgh, NY, USA"
189882,"Blackridge, Scotland, United Kingdom"
189924,"Cugnasco-Gerra, Ticino, Switzerland"
189957,"Barroselas, Viana do Castelo, Portugal"
189965,"Bezrzecze, West Pomeranian Voivodeship, Poland"
189972,"Jersey City, NJ, USA"
190080,"Glen Arbor, MI, USA"
190091,Costa Rica
190152,"Ma'an, Ma'an Governorate, Jordan"
190171,"Chattanooga, TN, USA"
190172,"Houston, TX, USA"
190203,"Hutchinson Island South, FL, USA"
190229,"Nuuk, Sermersooq Municipality, Greenland"
190230,"Poza Rica, Veracruz, Mexico"
190262,"Pittsburgh, PA, USA"
190265,"Weesp, North Holland, Netherlands"
190314,"Boston, MA, USA"
190335,"Tallapalem, Andhra Pradesh, India"
190339,"Polonne, Khmelnytskyi Oblast, Ukraine"
190378,"Mequon, WI, USA"
190431,"Maple Valley, WA, USA"
190467,"Lake City, FL, USA"
190471,"Eruvatty, Kerala, India"
190477,"Panagamuwa, North Western Province, Sri Lanka"
190478,"Andover, MA, USA"
190523,"Sousel, Portalegre District, Portugal"
190559,"Miami, AZ, USA"
190569,"Natternbach, Upper Austria, Austria"
190613,"QC, Canada"
190648,"Largo, FL, USA"
190654,"Oriya, Rajasthan, India"
190739,"Sitka, AK, USA"
190801,"Morris, NY, USA"
190845,"Mora, MN, USA"
190861,"Liverpool, England, United Kingdom"
190864,"Troyan, Lovech, Bulgaria"
190881,"Cloverdale, OR, USA"
190886,"Lowestoft, England, United Kingdom"
190893,"Keewatin, ON, Canada"
190912,"Trail, BC, Canada"
190930,"Page, AZ, USA"
190951,"Lansing, MI, USA"
190961,"Alvarado, TX, USA"
190973,"Las Vegas, NV, USA"
190990,"Clearfield, PA, USA"
191032,"Kepez, Antalya, Turkey"
191047,"Los Angeles, CA, USA"
191069,"Allen Park, MI, USA"
191097,"Allen Park, MI, USA"
191122,"Driggs, ID, USA"
191136,"Grande Prairie, AB, Canada"
191147,"Montrose, Victoria, Australia"
191163,"Rajasan, Bihar, India"
191166,"Grass Valley, CA, USA"
191170,"Osmond, WY, USA"
